EventTypes,working,commuting,entertainment,home
Knock,0.0,0.0103,0.0,0.1034
Tap,1.3889,0.0616,0.0536,0.2586
Squeak,0.0,0.0,0.0,0.0
Cupboard open or close,0.0,0.0,0.0,0.0
Drawer open or close,0.0,0.0,0.0,0.1034
"Dishes, pots, and pans",0.0,0.0,0.3214,1.3448
"Cutlery, silverware",0.0,0.0,0.0,0.4138
Chopping (food),0.0,0.0,0.0,0.0
Frying (food),0.0,0.0,0.0,0.0
Microwave oven,0.0,0.0103,0.0,0.0517
Blender,0.0,0.0,0.0,0.1034
"Water tap, faucet",0.0,0.0,0.0,0.3621
Sink (filling or washing),0.0,0.0,0.0,0.0
Bathtub (filling or washing),0.0,0.0,0.0,0.0
Hair dryer,0.0,0.0,0.0,0.0
Toilet flush,0.0,0.0,0.0,0.0
Toothbrush,0.0,0.0,0.0,0.0
Electric toothbrush,0.0,0.0,0.0,0.0
Vacuum cleaner,0.0,0.0,0.0,0.2586
Zipper (clothing),0.0,0.0103,0.0,0.0
Keys jangling,0.0,0.0,0.0,0.0
Coin (dropping),0.0,0.0,0.0,0.0
Scissors,0.0,0.0,0.0,0.0
"Electric shaver, electric razor",0.0,0.0,0.0,0.0
Shuffling cards,0.0,0.0,0.0,0.0
Typing,0.2778,0.0,0.0,0.2586
Typewriter,0.0,0.0,0.0,0.0
Computer keyboard,0.5,0.0,0.0,0.1552
Writing,0.0,0.0,0.0,0.0517
Alarm,0.0,0.0,0.0,0.0
Telephone,0.0,0.0,0.0,0.0
Telephone bell ringing,0.0,0.0,0.0,0.0
Ringtone,0.0,0.0,0.0,0.0
"Telephone dialing, DTMF",0.0,0.0,0.0,0.0
Dial tone,0.0,0.0,0.0,0.0
Busy signal,0.0,0.0,0.0,0.0
Alarm clock,0.0,0.0,0.0,0.0
Siren,0.0,0.0205,0.0,0.0
Civil defense siren,0.0,0.0,0.0,0.0
Buzzer,0.0,0.0,0.0,0.0
"Smoke detector, smoke alarm",0.0,0.0,0.0,0.0
Fire alarm,0.0,0.0,0.0,0.0
Foghorn,0.0,0.0,0.0,0.0
Whistle,0.0,0.0103,0.0,0.0
Steam whistle,0.0,0.0,0.0,0.0
Mechanisms,0.0556,0.0103,0.0,0.0
"Ratchet, pawl",0.0,0.0,0.0,0.0
Clock,0.0,0.0,0.0,0.0
Tick,2.1111,0.0616,0.1071,0.2069
Tick-tock,0.8333,0.0822,0.4821,0.2586
Gears,0.0556,0.0,0.0,0.0
Pulleys,0.0,0.0,0.0,0.0
Sewing machine,0.0,0.0,0.0,0.0
Mechanical fan,0.0,0.0,0.0,0.0
Air conditioning,0.0,0.0,0.0,0.0
Cash register,0.0,0.0,0.0,0.0
Printer,0.0,0.0308,0.0536,0.1552
Camera,0.0,0.0,0.0,0.0
Single-lens reflex camera,0.0,0.0,0.0,0.0
Tools,0.0,0.0,0.0,0.0
Hammer,0.0,0.0,0.0,0.0517
Jackhammer,0.0,0.0,0.0,0.0
Sawing,0.0,0.0,0.0,0.0
Filing (rasp),0.0,0.0,0.0,0.0
Sanding,0.0,0.0,0.0,0.0
Power tool,0.0,0.0,0.0,0.0
Drill,0.0,0.0,0.0,0.0
Explosion,0.0,0.0514,0.0,0.0
"Gunshot, gunfire",0.0,0.0,0.0,0.0
Machine gun,0.0,0.0,0.0,0.0
Fusillade,0.0,0.0,0.0,0.0
Artillery fire,0.0,0.0,0.0,0.0
Cap gun,0.0,0.0,0.0,0.0
Fireworks,0.0,0.0,0.0,0.0
Firecracker,0.0,0.0,0.0,0.0
"Burst, pop",0.0,0.0,0.0,0.0
Eruption,0.0,0.0103,0.0,0.0
Boom,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.1552
Chop,0.0,0.0,0.0,0.0
Splinter,0.0,0.0,0.0,0.0
Crack,0.0,0.0,0.0,0.0
Glass,0.0,0.0,0.0,0.0
"Chink, clink",0.0,0.0205,2.3036,0.2069
Shatter,0.0,0.0,0.0,0.0
Liquid,0.0,0.0,0.0,0.0
"Splash, splatter",0.0,0.0,0.0,0.0
Slosh,0.0,0.0,0.0,0.0
Squish,0.0,0.0,0.0,0.0
Drip,0.0,0.0,0.0536,0.1034
Pour,0.0,0.0,0.0,0.0
"Trickle, dribble",0.0,0.0,0.0,0.0
Gush,0.0,0.0,0.0,0.0
Fill (with liquid),0.0,0.0,0.0,0.0
Spray,0.2222,0.0103,0.1071,0.0517
Pump (liquid),0.0,0.0,0.0,0.0
Stir,0.0,0.0,0.0,0.0
Boiling,0.0,0.0,0.0,0.0
Sonar,0.0,0.0,0.0,0.0
Arrow,0.0,0.0,0.0,0.0
"Whoosh, swoosh, swish",0.0,0.0,0.0,0.0
"Thump, thud",0.0,0.0,0.0,0.0
Thunk,0.0,0.0,0.0,0.0
Electronic tuner,0.0,0.0,0.0,0.0
Effects unit,0.0,0.0,0.0,0.0
Chorus effect,0.0,0.0,0.0,0.0
Basketball bounce,0.0,0.0,0.0,0.0
Bang,0.0,0.0,0.0,0.0
"Slap, smack",0.0,0.0,0.0,0.0
"Whack, thwack",0.0,0.0,0.0,0.0
"Smash, crash",0.0,0.0,0.0,0.0
Breaking,0.0,0.0,0.0,0.0
Bouncing,0.0,0.0,0.0,0.0
Whip,0.0,0.0103,0.0,0.0
Flap,0.0,0.0,0.0,0.0
Scratch,0.0,0.0,0.0,0.0
Scrape,0.0,0.0,0.0,0.0
Rub,0.0,0.0,0.0,0.2586
Roll,0.0,0.0,0.0,0.0
Crushing,0.0,0.0,0.0,0.0
"Crumpling, crinkling",0.0,0.0,0.0,0.0
Tearing,0.0,0.0,0.0,0.0
"Beep, bleep",0.0,0.0514,0.0,0.0
Ping,0.0556,0.0103,0.0,0.1034
Ding,0.0,0.0,0.0,0.0
Clang,0.0,0.0,0.0,0.0
Squeal,0.0,0.0,0.0,0.0
Creak,0.0,0.0,0.0,0.0
Rustle,0.0,0.0,0.0,0.0
Whir,0.0,0.0,0.0,0.0
Clatter,0.0,0.0,0.0,0.0
Sizzle,0.0,0.0,0.0,0.0
Clicking,0.5556,0.0,0.0,0.0
Clickety-clack,0.0,0.0,0.0,0.0
Rumble,0.0,0.0205,0.0,0.0
Plop,0.0,0.0,0.0,0.0
"Jingle, tinkle",0.0,0.0,0.0,0.0
Hum,0.0,0.0,0.0,0.0
Zing,0.0,0.0,0.0,0.0
Boing,0.0,0.0,0.0,0.0
Crunch,0.0,0.0,0.0,0.0
Silence,11.1111,1.0479,0.5893,1.8103
Sine wave,0.3333,0.0,0.0,0.0517
Harmonic,0.0,0.0,0.0,0.0
Chirp tone,0.0,0.0,0.0,0.0
Sound effect,0.0,0.0205,0.0,0.0
Pulse,0.0,0.0,0.0,0.0
"Inside, small room",8.9444,0.7295,1.5,9.1034
"Inside, large room or hall",0.0,0.6575,1.0714,0.0517
"Inside, public space",0.0,0.0514,0.375,0.0
"Outside, urban or manmade",0.0,0.0925,0.1071,0.0
"Outside, rural or natural",0.0,0.0,0.0,0.0
Reverberation,0.0,0.0,0.0,0.0
Echo,0.0,0.0,0.0,0.0
Noise,0.0,0.0,0.0,0.0
Environmental noise,0.0,0.0,0.0,0.0
Static,0.0,0.0,0.0,0.0
Mains hum,0.0,0.0,0.0,0.0
Distortion,0.0,0.0,0.0,0.0
Sidetone,0.0,0.0,0.0,0.0
Cacophony,0.0,0.0,0.0,0.0
White noise,0.4444,0.0822,0.0,0.2069
Pink noise,0.0,0.0,0.0,0.0
Throbbing,0.0,0.0,0.0,0.0
Vibration,0.0,0.0205,0.0,0.0517
Television,0.0,0.0,0.0,0.1034
Radio,0.0,0.0,0.0,0.0
Field recording,0.0,0.0,0.0,0.0
